32	SpriteWH	0	0	1	48	4	1	1BPP	RAW	'' '	1	9	2
33	SpriteWH	0	0	18	42	1	7	1BPP	RAW	''!'
34	SpriteWH	0	5	35	41	3	3	1BPP	RAW	''"'
35	SpriteWH	0	0	52	42	6	7	1BPP	RAW	''#'
36	SpriteWH	0	-1	69	41	5	9	1BPP	RAW	''$'
37	SpriteWH	0	0	86	42	6	7	1BPP	RAW	''%'
38	SpriteWH	0	0	103	42	6	7	1BPP	RAW	''&'
39	SpriteWH	0	6	120	41	2	2	1BPP	RAW	''''
40	SpriteWH	0	-2	137	42	4	9	1BPP	RAW	''('
41	SpriteWH	0	-2	154	42	4	9	1BPP	RAW	'')'
42	SpriteWH	0	3	171	42	5	4	1BPP	RAW	''*'
43	SpriteWH	0	0	188	44	5	5	1BPP	RAW	''+'
44	SpriteWH	0	-2	205	47	2	4	1BPP	RAW	'','
45	SpriteWH	0	3	222	45	4	1	1BPP	RAW	''-'
46	SpriteWH	0	0	239	47	2	2	1BPP	RAW	''.'
47	SpriteWH	0	-2	256	42	6	9	1BPP	RAW	''/'
48	SpriteWH	0	0	1	59	5	7	1BPP	RAW	''0'
49	SpriteWH	0	0	18	59	5	7	1BPP	RAW	''1'
50	SpriteWH	0	0	35	59	4	7	1BPP	RAW	''2'
51	SpriteWH	0	0	52	59	4	7	1BPP	RAW	''3'
52	SpriteWH	0	0	69	59	5	7	1BPP	RAW	''4'
53	SpriteWH	0	0	86	59	4	7	1BPP	RAW	''5'
54	SpriteWH	0	0	103	59	5	7	1BPP	RAW	''6'
55	SpriteWH	0	0	120	59	4	7	1BPP	RAW	''7'
56	SpriteWH	0	0	137	59	5	7	1BPP	RAW	''8'
57	SpriteWH	0	0	154	59	5	7	1BPP	RAW	''9'
58	SpriteWH	0	0	171	61	2	5	1BPP	RAW	'':'
59	SpriteWH	0	-1	188	61	2	6	1BPP	RAW	'';'
60	SpriteWH	0	0	205	61	5	5	1BPP	RAW	''<'
61	SpriteWH	0	1	222	62	6	3	1BPP	RAW	''='
62	SpriteWH	0	0	239	61	5	5	1BPP	RAW	''>'
63	SpriteWH	0	0	256	59	4	7	1BPP	RAW	''?'
64	SpriteWH	0	0	1	76	6	7	1BPP	RAW	''@'
65	SpriteWH	0	0	18	76	6	7	1BPP	RAW	''A'
66	SpriteWH	0	0	35	76	5	7	1BPP	RAW	''B'
67	SpriteWH	0	0	52	76	5	7	1BPP	RAW	''C'
68	SpriteWH	0	0	69	76	5	7	1BPP	RAW	''D'
69	SpriteWH	0	0	86	76	4	7	1BPP	RAW	''E'
70	SpriteWH	0	0	103	76	4	7	1BPP	RAW	''F'
71	SpriteWH	0	0	120	76	5	7	1BPP	RAW	''G'
72	SpriteWH	0	0	137	76	5	7	1BPP	RAW	''H'
73	SpriteWH	0	0	154	76	5	7	1BPP	RAW	''I'
74	SpriteWH	0	0	171	76	3	7	1BPP	RAW	''J'
75	SpriteWH	0	0	188	76	5	7	1BPP	RAW	''K'
76	SpriteWH	0	0	205	76	4	7	1BPP	RAW	''L'
77	SpriteWH	0	0	222	76	5	7	1BPP	RAW	''M'
78	SpriteWH	0	0	239	76	5	7	1BPP	RAW	''N'
79	SpriteWH	0	0	256	76	5	7	1BPP	RAW	''O'
80	SpriteWH	0	0	1	93	5	7	1BPP	RAW	''P'
81	SpriteWH	0	-1	18	93	6	8	1BPP	RAW	''Q'
82	SpriteWH	0	0	35	93	5	7	1BPP	RAW	''R'
83	SpriteWH	0	0	52	93	4	7	1BPP	RAW	''S'
84	SpriteWH	0	0	69	93	5	7	1BPP	RAW	''T'
85	SpriteWH	0	0	86	93	5	7	1BPP	RAW	''U'
86	SpriteWH	0	0	103	93	6	7	1BPP	RAW	''V'
87	SpriteWH	0	0	120	93	5	7	1BPP	RAW	''W'
88	SpriteWH	0	0	137	93	6	7	1BPP	RAW	''X'
89	SpriteWH	0	0	154	93	5	7	1BPP	RAW	''Y'
90	SpriteWH	0	0	171	93	5	7	1BPP	RAW	''Z'
91	SpriteWH	0	-2	188	93	3	9	1BPP	RAW	''['
92	SpriteWH	0	-2	205	93	6	9	1BPP	RAW	''\'
93	SpriteWH	0	-2	222	93	3	9	1BPP	RAW	'']'
94	SpriteWH	0	5	239	92	5	3	1BPP	RAW	''^'
95	SpriteWH	0	-1	256	100	6	1	1BPP	RAW	''_'
96	SpriteWH	0	6	1	109	2	2	1BPP	RAW	''`'
97	SpriteWH	0	0	18	112	5	5	1BPP	RAW	''a'
98	SpriteWH	0	0	35	109	5	8	1BPP	RAW	''b'
99	SpriteWH	0	0	52	112	5	5	1BPP	RAW	''c'
100	SpriteWH	0	0	69	109	5	8	1BPP	RAW	''d'
101	SpriteWH	0	0	86	112	5	5	1BPP	RAW	''e'
102	SpriteWH	0	0	103	109	4	8	1BPP	RAW	''f'
103	SpriteWH	0	-2	120	112	5	7	1BPP	RAW	''g'
104	SpriteWH	0	0	137	109	5	8	1BPP	RAW	''h'
105	SpriteWH	0	0	154	109	3	8	1BPP	RAW	''i'
106	SpriteWH	0	-2	171	109	4	10	1BPP	RAW	''j'
107	SpriteWH	0	0	188	109	4	8	1BPP	RAW	''k'
108	SpriteWH	0	0	205	109	3	8	1BPP	RAW	''l'
109	SpriteWH	0	0	222	112	5	5	1BPP	RAW	''m'
110	SpriteWH	0	0	239	112	5	5	1BPP	RAW	''n'
111	SpriteWH	0	0	256	112	5	5	1BPP	RAW	''o'
112	SpriteWH	0	-2	1	129	5	7	1BPP	RAW	''p'
